model,category,style,temp,SAR_mean,SAR_CI_lower,SAR_CI_upper
Deepseek,Age,conversational,0.2,0.18617021276595744,0.14627659574468085,0.22606382978723405
Deepseek,Age,conversational,0.7,0.19680851063829788,0.15691489361702127,0.23676861702127652
Deepseek,Age,conversational,1.0,0.17553191489361702,0.13829787234042554,0.2127659574468085
Deepseek,Age,generative,0.2,0.15168539325842698,0.11797752808988764,0.18820224719101122
Deepseek,Age,generative,0.7,0.12921348314606743,0.09550561797752809,0.16299157303370782
Deepseek,Age,generative,1.0,0.12921348314606743,0.09550561797752809,0.16573033707865167
Deepseek,Disability_status,conversational,0.2,0.2777777777777778,0.2175925925925926,0.33796296296296297
Deepseek,Disability_status,conversational,0.7,0.24074074074074073,0.18518518518518517,0.2962962962962963
Deepseek,Disability_status,conversational,1.0,0.24074074074074073,0.18055555555555555,0.2917824074074073
Deepseek,Disability_status,generative,0.2,0.22935779816513763,0.17419724770642214,0.28440366972477066
Deepseek,Disability_status,generative,0.7,0.22935779816513763,0.1787844036697249,0.28440366972477066
Deepseek,Disability_status,generative,1.0,0.21100917431192662,0.16055045871559634,0.2615825688073393
Deepseek,Gender_identity,conversational,0.2,0.21585903083700442,0.18061674008810572,0.2533039647577093
Deepseek,Gender_identity,conversational,0.7,0.22026431718061673,0.18061674008810572,0.2577092511013216
Deepseek,Gender_identity,conversational,1.0,0.22466960352422907,0.1894273127753304,0.2665198237885463
Deepseek,Gender_identity,generative,0.2,0.16666666666666666,0.13333333333333333,0.2
Deepseek,Gender_identity,generative,0.7,0.17083333333333334,0.1375,0.20416666666666666
Deepseek,Gender_identity,generative,1.0,0.16666666666666666,0.13333333333333333,0.20208333333333334
Deepseek,Race_ethnicity,conversational,0.2,0.17479674796747968,0.14227642276422764,0.20934959349593496
Deepseek,Race_ethnicity,conversational,0.7,0.17479674796747968,0.1402439024390244,0.2073170731707317
Deepseek,Race_ethnicity,conversational,1.0,0.17073170731707318,0.1381605691056911,0.20528455284552846
Deepseek,Race_ethnicity,generative,0.2,0.14960629921259844,0.11811023622047244,0.18110236220472442
Deepseek,Race_ethnicity,generative,0.7,0.15354330708661418,0.12401574803149606,0.18503937007874016
Deepseek,Race_ethnicity,generative,1.0,0.14960629921259844,0.12007874015748031,0.18110236220472442
Deepseek,SES,conversational,0.2,0.16666666666666666,0.1340955284552846,0.1991869918699187
Deepseek,SES,conversational,0.7,0.16666666666666666,0.13617886178861788,0.20121951219512196
Deepseek,SES,conversational,1.0,0.15853658536585366,0.12804878048780488,0.18907520325203248
Deepseek,SES,generative,0.2,0.13385826771653545,0.1062992125984252,0.16535433070866143
Deepseek,SES,generative,0.7,0.1377952755905512,0.10826771653543307,0.16929133858267717
Deepseek,SES,generative,1.0,0.1377952755905512,0.10826771653543307,0.16929133858267717
GPT-3.5,Age,conversational,0.2,0.07446808510638298,0.05046542553191495,0.10106382978723404
GPT-3.5,Age,conversational,0.7,0.0797872340425532,0.05319148936170213,0.10904255319148937
GPT-3.5,Age,conversational,1.0,0.06382978723404255,0.0425531914893617,0.09042553191489362
GPT-3.5,Age,generative,0.2,0.20224719101123595,0.1628511235955057,0.24157303370786518
GPT-3.5,Age,generative,0.7,0.19662921348314608,0.15730337078651685,0.23876404494382023
GPT-3.5,Age,generative,1.0,0.21348314606741572,0.17415730337078653,0.25568820224719097
GPT-3.5,Disability_status,conversational,0.2,0.19444444444444445,0.14351851851851852,0.24537037037037038
GPT-3.5,Disability_status,conversational,0.7,0.16666666666666666,0.12037037037037036,0.2175925925925926
GPT-3.5,Disability_status,conversational,1.0,0.17592592592592593,0.125,0.22685185185185186
GPT-3.5,Disability_status,generative,0.2,0.26605504587155965,0.20642201834862386,0.3211009174311927
GPT-3.5,Disability_status,generative,0.7,0.25688073394495414,0.2018348623853211,0.3120412844036696
GPT-3.5,Disability_status,generative,1.0,0.26605504587155965,0.21100917431192662,0.3256880733944954
GPT-3.5,Gender_identity,conversational,0.2,0.09251101321585903,0.06607929515418502,0.1211453744493392
GPT-3.5,Gender_identity,conversational,0.7,0.0881057268722467,0.06387665198237885,0.1145374449339207
GPT-3.5,Gender_identity,conversational,1.0,0.08370044052863436,0.05947136563876652,0.11013215859030837
GPT-3.5,Gender_identity,generative,0.2,0.18333333333333332,0.15,0.21875
GPT-3.5,Gender_identity,generative,0.7,0.17916666666666667,0.14578125000000006,0.21458333333333332
GPT-3.5,Gender_identity,generative,1.0,0.17083333333333334,0.13744791666666673,0.20833333333333334
GPT-3.5,Race_ethnicity,conversational,0.2,0.07317073170731707,0.0508130081300813,0.0975609756097561
GPT-3.5,Race_ethnicity,conversational,0.7,0.06504065040650407,0.046747967479674794,0.08536585365853659
GPT-3.5,Race_ethnicity,conversational,1.0,0.07317073170731707,0.0508130081300813,0.09552845528455285
GPT-3.5,Race_ethnicity,generative,0.2,0.16929133858267717,0.1377952755905512,0.20275590551181102
GPT-3.5,Race_ethnicity,generative,0.7,0.15748031496062992,0.1279527559055118,0.19094488188976377
GPT-3.5,Race_ethnicity,generative,1.0,0.16535433070866143,0.13380905511811028,0.1968503937007874
GPT-3.5,SES,conversational,0.2,0.07723577235772358,0.054878048780487805,0.10365853658536585
GPT-3.5,SES,conversational,0.7,0.07723577235772358,0.052845528455284556,0.1016260162601626
GPT-3.5,SES,conversational,1.0,0.07317073170731707,0.0508130081300813,0.0975609756097561
GPT-3.5,SES,generative,0.2,0.14173228346456693,0.1141732283464567,0.17519685039370078
GPT-3.5,SES,generative,0.7,0.15748031496062992,0.12992125984251968,0.1889763779527559
GPT-3.5,SES,generative,1.0,0.13385826771653545,0.10433070866141732,0.16338582677165353
Gemini,Age,conversational,0.2,0.0,0.0,0.0
Gemini,Age,conversational,0.7,0.0,0.0,0.0
Gemini,Age,conversational,1.0,0.0,0.0,0.0
Gemini,Age,generative,0.2,0.0,0.0,0.0
Gemini,Age,generative,0.7,0.0,0.0,0.0
Gemini,Age,generative,1.0,0.0,0.0,0.0
Gemini,Disability_status,conversational,0.2,0.0,0.0,0.0
Gemini,Disability_status,conversational,0.7,0.0,0.0,0.0
Gemini,Disability_status,conversational,1.0,0.0,0.0,0.0
Gemini,Disability_status,generative,0.2,0.0,0.0,0.0
Gemini,Disability_status,generative,0.7,0.0,0.0,0.0
Gemini,Disability_status,generative,1.0,0.0,0.0,0.0
Gemini,Gender_identity,conversational,0.2,0.0,0.0,0.0
Gemini,Gender_identity,conversational,0.7,0.0,0.0,0.0
Gemini,Gender_identity,conversational,1.0,0.0,0.0,0.0
Gemini,Gender_identity,generative,0.2,0.0,0.0,0.0
Gemini,Gender_identity,generative,0.7,0.0,0.0,0.0
Gemini,Gender_identity,generative,1.0,0.0,0.0,0.0
Gemini,Race_ethnicity,conversational,0.2,0.0,0.0,0.0
Gemini,Race_ethnicity,conversational,0.7,0.0,0.0,0.0
Gemini,Race_ethnicity,conversational,1.0,0.0,0.0,0.0
Gemini,Race_ethnicity,generative,0.2,0.0,0.0,0.0
Gemini,Race_ethnicity,generative,0.7,0.0,0.0,0.0
Gemini,Race_ethnicity,generative,1.0,0.0,0.0,0.0
Gemini,SES,conversational,0.2,0.0,0.0,0.0
Gemini,SES,conversational,0.7,0.0,0.0,0.0
Gemini,SES,conversational,1.0,0.0,0.0,0.0
Gemini,SES,generative,0.2,0.0,0.0,0.0
Gemini,SES,generative,0.7,0.0,0.0,0.0
Gemini,SES,generative,1.0,0.0,0.0,0.0
Grok,Age,conversational,0.2,0.1595744680851064,0.125,0.19680851063829788
Grok,Age,conversational,0.7,0.1702127659574468,0.13297872340425532,0.2074468085106383
Grok,Age,conversational,1.0,0.16489361702127658,0.13031914893617022,0.19953457446808504
Grok,Age,generative,0.2,0.2696629213483146,0.22191011235955055,0.3146067415730337
Grok,Age,generative,0.7,0.24157303370786518,0.199438202247191,0.2865870786516853
Grok,Age,generative,1.0,0.2640449438202247,0.21910112359550563,0.3089887640449438
Grok,Disability_status,conversational,0.2,0.23148148148148148,0.18055555555555555,0.28703703703703703
Grok,Disability_status,conversational,0.7,0.25925925925925924,0.2037037037037037,0.3194444444444444
Grok,Disability_status,conversational,1.0,0.24074074074074073,0.18518518518518517,0.2962962962962963
Grok,Disability_status,generative,0.2,0.42201834862385323,0.3577981651376147,0.48623853211009177
Grok,Disability_status,generative,0.7,0.3853211009174312,0.3165137614678899,0.4496559633027522
Grok,Disability_status,generative,1.0,0.41284403669724773,0.35309633027522946,0.4724770642201835
Grok,Gender_identity,conversational,0.2,0.22466960352422907,0.18716960352422915,0.2599118942731278
Grok,Gender_identity,conversational,0.7,0.22466960352422907,0.18722466960352424,0.2599669603524229
Grok,Gender_identity,conversational,1.0,0.21145374449339208,0.1762114537444934,0.2511013215859031
Grok,Gender_identity,generative,0.2,0.21666666666666667,0.17916666666666667,0.2520833333333333
Grok,Gender_identity,generative,0.7,0.22083333333333333,0.1875,0.25833333333333336
Grok,Gender_identity,generative,1.0,0.22083333333333333,0.18541666666666667,0.25625
Grok,Race_ethnicity,conversational,0.2,0.15040650406504066,0.12195121951219512,0.18094512195121948
Grok,Race_ethnicity,conversational,0.7,0.15447154471544716,0.12195121951219512,0.18699186991869918
Grok,Race_ethnicity,conversational,1.0,0.15447154471544716,0.12398373983739837,0.18699186991869918
Grok,Race_ethnicity,generative,0.2,0.22440944881889763,0.18700787401574803,0.25984251968503935
Grok,Race_ethnicity,generative,0.7,0.2125984251968504,0.17716535433070865,0.24606299212598426
Grok,Race_ethnicity,generative,1.0,0.21653543307086615,0.18105314960629926,0.25393700787401574
Grok,SES,conversational,0.2,0.13008130081300814,0.10157520325203256,0.16260162601626016
Grok,SES,conversational,0.7,0.12601626016260162,0.0975609756097561,0.1565040650406504
Grok,SES,conversational,1.0,0.13008130081300814,0.1016260162601626,0.16056910569105692
Grok,SES,generative,0.2,0.20078740157480315,0.1673228346456693,0.23622047244094488
Grok,SES,generative,0.7,0.20078740157480315,0.1673228346456693,0.23818897637795275
Grok,SES,generative,1.0,0.1889763779527559,0.15748031496062992,0.22440944881889763
biobert,Age,conversational,0.2,0.25,0.2047872340425532,0.29521276595744683
biobert,Age,conversational,0.7,0.25,0.2047872340425532,0.2952792553191489
biobert,Age,conversational,1.0,0.25,0.2074468085106383,0.29521276595744683
biobert,Age,generative,0.2,0.23595505617977527,0.19382022471910113,0.2808988764044944
biobert,Age,generative,0.7,0.23595505617977527,0.19382022471910113,0.2808988764044944
biobert,Age,generative,1.0,0.23595505617977527,0.19101123595505617,0.28370786516853935
biobert,Disability_status,conversational,0.2,0.4444444444444444,0.37962962962962965,0.5092592592592593
biobert,Disability_status,conversational,0.7,0.4444444444444444,0.375,0.5046296296296297
biobert,Disability_status,conversational,1.0,0.4444444444444444,0.37962962962962965,0.5138888888888888
biobert,Disability_status,generative,0.2,0.47706422018348627,0.41743119266055045,0.5368119266055045
biobert,Disability_status,generative,0.7,0.47706422018348627,0.40825688073394495,0.5458715596330275
biobert,Disability_status,generative,1.0,0.47706422018348627,0.4127293577981653,0.5458715596330275
biobert,Gender_identity,conversational,0.2,0.2599118942731278,0.22026431718061673,0.29955947136563876
biobert,Gender_identity,conversational,0.7,0.2599118942731278,0.22020925110132164,0.29955947136563876
biobert,Gender_identity,conversational,1.0,0.2599118942731278,0.22026431718061673,0.30176211453744495
biobert,Gender_identity,generative,0.2,0.2375,0.2,0.275
biobert,Gender_identity,generative,0.7,0.2375,0.19791666666666666,0.2750520833333333
biobert,Gender_identity,generative,1.0,0.2375,0.20208333333333334,0.275
biobert,Race_ethnicity,conversational,0.2,0.2073170731707317,0.17479674796747968,0.241869918699187
biobert,Race_ethnicity,conversational,0.7,0.2073170731707317,0.17276422764227642,0.2459349593495935
biobert,Race_ethnicity,conversational,1.0,0.2073170731707317,0.17271341463414638,0.24796747967479674
biobert,Race_ethnicity,generative,0.2,0.23228346456692914,0.1968503937007874,0.26776574803149605
biobert,Race_ethnicity,generative,0.7,0.23228346456692914,0.19881889763779528,0.26968503937007876
biobert,Race_ethnicity,generative,1.0,0.23228346456692914,0.19488188976377951,0.2736220472440945
biobert,SES,conversational,0.2,0.21544715447154472,0.18089430894308944,0.25
biobert,SES,conversational,0.7,0.21544715447154472,0.17881097560975615,0.2540650406504065
biobert,SES,conversational,1.0,0.21544715447154472,0.17886178861788618,0.25208333333333327
biobert,SES,generative,0.2,0.22440944881889763,0.1889763779527559,0.2618602362204724
biobert,SES,generative,0.7,0.22440944881889763,0.1908956692913386,0.2618110236220472
biobert,SES,generative,1.0,0.22440944881889763,0.19094488188976377,0.25984251968503935
llama,Age,conversational,0.2,0.30851063829787234,0.26063829787234044,0.3564494680851063
llama,Age,conversational,0.7,0.31382978723404253,0.26595744680851063,0.3591090425531914
llama,Age,conversational,1.0,0.31382978723404253,0.26861702127659576,0.36436170212765956
llama,Age,generative,0.2,0.3146067415730337,0.26685393258426965,0.36235955056179775
llama,Age,generative,0.7,0.3146067415730337,0.26685393258426965,0.3595505617977528
llama,Age,generative,1.0,0.3146067415730337,0.2640449438202247,0.3624297752808988
llama,Disability_status,conversational,0.2,0.46296296296296297,0.39803240740740753,0.5277777777777778
llama,Disability_status,conversational,0.7,0.46296296296296297,0.39814814814814814,0.5277777777777778
llama,Disability_status,conversational,1.0,0.4537037037037037,0.3888888888888889,0.5185185185185185
llama,Disability_status,generative,0.2,0.47706422018348627,0.40825688073394495,0.5458715596330275
llama,Disability_status,generative,0.7,0.47706422018348627,0.40825688073394495,0.5412844036697247
llama,Disability_status,generative,1.0,0.47706422018348627,0.40825688073394495,0.5412844036697247
llama,Gender_identity,conversational,0.2,0.2599118942731278,0.22246696035242292,0.2974118942731277
llama,Gender_identity,conversational,0.7,0.2643171806167401,0.22466960352422907,0.30837004405286345
llama,Gender_identity,conversational,1.0,0.2599118942731278,0.22026431718061673,0.30176211453744495
llama,Gender_identity,generative,0.2,0.24166666666666667,0.20625,0.28125
llama,Gender_identity,generative,0.7,0.2375,0.19994791666666673,0.28125
llama,Gender_identity,generative,1.0,0.24166666666666667,0.20416666666666666,0.2791666666666667
llama,Race_ethnicity,conversational,0.2,0.21544715447154472,0.18089430894308944,0.25609756097560976
llama,Race_ethnicity,conversational,0.7,0.21544715447154472,0.17886178861788618,0.25208333333333327
llama,Race_ethnicity,conversational,1.0,0.21951219512195122,0.18495934959349594,0.25609756097560976
llama,Race_ethnicity,generative,0.2,0.24015748031496062,0.20275590551181102,0.27367125984251967
llama,Race_ethnicity,generative,0.7,0.2440944881889764,0.20866141732283464,0.2854330708661417
llama,Race_ethnicity,generative,1.0,0.24015748031496062,0.20275590551181102,0.27755905511811024
llama,SES,conversational,0.2,0.21544715447154472,0.17886178861788618,0.25203252032520324
llama,SES,conversational,0.7,0.21544715447154472,0.17886178861788618,0.25203252032520324
llama,SES,conversational,1.0,0.21951219512195122,0.18292682926829268,0.25609756097560976
llama,SES,generative,0.2,0.22440944881889763,0.1889763779527559,0.2618110236220472
llama,SES,generative,0.7,0.22440944881889763,0.18695866141732287,0.2618110236220472
llama,SES,generative,1.0,0.22440944881889763,0.1889763779527559,0.25984251968503935
mistral,Age,conversational,0.2,0.31382978723404253,0.2685505319148937,0.3617021276595745
mistral,Age,conversational,0.7,0.30851063829787234,0.2632978723404255,0.35904255319148937
mistral,Age,conversational,1.0,0.31382978723404253,0.26595744680851063,0.35904255319148937
mistral,Age,generative,0.2,0.3202247191011236,0.26959269662921354,0.36797752808988765
mistral,Age,generative,0.7,0.3146067415730337,0.26685393258426965,0.36797752808988765
mistral,Age,generative,1.0,0.3146067415730337,0.26685393258426965,0.36235955056179775
mistral,Disability_status,conversational,0.2,0.4537037037037037,0.3888888888888889,0.5186342592592591
mistral,Disability_status,conversational,0.7,0.4537037037037037,0.3887731481481483,0.5231481481481481
mistral,Disability_status,conversational,1.0,0.4537037037037037,0.3888888888888889,0.5185185185185185
mistral,Disability_status,generative,0.2,0.47706422018348627,0.41284403669724773,0.5413990825688072
mistral,Disability_status,generative,0.7,0.47706422018348627,0.417316513761468,0.5504587155963303
mistral,Disability_status,generative,1.0,0.47706422018348627,0.40825688073394495,0.5412844036697247
mistral,Gender_identity,conversational,0.2,0.2599118942731278,0.22026431718061673,0.30176211453744495
mistral,Gender_identity,conversational,0.7,0.2599118942731278,0.21585903083700442,0.29955947136563876
mistral,Gender_identity,conversational,1.0,0.2599118942731278,0.22026431718061673,0.29955947136563876
mistral,Gender_identity,generative,0.2,0.2375,0.2,0.27291666666666664
mistral,Gender_identity,generative,0.7,0.2375,0.2,0.275
mistral,Gender_identity,generative,1.0,0.2375,0.19994791666666673,0.27291666666666664
mistral,Race_ethnicity,conversational,0.2,0.21544715447154472,0.1808434959349594,0.24796747967479674
mistral,Race_ethnicity,conversational,0.7,0.21544715447154472,0.17886178861788618,0.2540650406504065
mistral,Race_ethnicity,conversational,1.0,0.21951219512195122,0.18292682926829268,0.25609756097560976
mistral,Race_ethnicity,generative,0.2,0.24015748031496062,0.20078740157480315,0.27755905511811024
mistral,Race_ethnicity,generative,0.7,0.24015748031496062,0.20669291338582677,0.2755905511811024
mistral,Race_ethnicity,generative,1.0,0.24015748031496062,0.20467519685039373,0.27755905511811024
mistral,SES,conversational,0.2,0.21544715447154472,0.18089430894308944,0.2540650406504065
mistral,SES,conversational,0.7,0.21544715447154472,0.17886178861788618,0.25203252032520324
mistral,SES,conversational,1.0,0.21951219512195122,0.18292682926829268,0.25818089430894303
mistral,SES,generative,0.2,0.22440944881889763,0.1889763779527559,0.2578740157480315
mistral,SES,generative,0.7,0.22440944881889763,0.1889763779527559,0.2618110236220472
mistral,SES,generative,1.0,0.2283464566929134,0.19094488188976377,0.2637795275590551
